method;K;iterations;repetition;T;score
BTM_S;50;1000;4;5;-11.857744431250484
BTM_S;50;1000;4;10;-53.72323007180043
BTM_S;50;1000;4;15;-122.87985858755324
BTM_S;50;1000;4;20;-217.96883175214236
BTM_S;50;1000;5;5;-11.196115114680426
BTM_S;50;1000;5;10;-47.643970939402806
BTM_S;50;1000;5;15;-109.23921779376629
BTM_S;50;1000;5;20;-194.1546448680092
BTM_S;50;1000;6;5;-11.290080130700307
BTM_S;50;1000;6;10;-48.865385893883484
BTM_S;50;1000;6;15;-112.86232381892181
BTM_S;50;1000;6;20;-204.0359422198702
BTM_S;50;1000;7;5;-10.818920099377914
BTM_S;50;1000;7;10;-50.34416971720343
BTM_S;50;1000;7;15;-112.88732379657142
BTM_S;50;1000;7;20;-205.93061730545597
BTM_S;50;1000;8;5;-10.032586232191598
BTM_S;50;1000;8;10;-46.9286903144764
BTM_S;50;1000;8;15;-112.80377132984057
BTM_S;50;1000;8;20;-206.82150989126976
BTM_S;50;1000;9;5;-11.779806349970663
BTM_S;50;1000;9;10;-50.48983642849278
BTM_S;50;1000;9;15;-115.12679056621107
BTM_S;50;1000;9;20;-208.9013750516985
BTM_S;60;1000;0;5;-11.441909613426299
BTM_S;60;1000;0;10;-47.66332431280225
BTM_S;60;1000;0;15;-114.65757743961257
BTM_S;60;1000;0;20;-211.50309326132958
BTM_S;60;1000;1;5;-11.594272324390806
BTM_S;60;1000;1;10;-49.410590981329605
BTM_S;60;1000;1;15;-116.7398615290857
BTM_S;60;1000;1;20;-212.8028230349922
BTM_S;60;1000;2;5;-11.19184853810901
BTM_S;60;1000;2;10;-49.30609072875074
BTM_S;60;1000;2;15;-114.86387523164143
BTM_S;60;1000;2;20;-207.80117152463558
BTM_S;60;1000;3;5;-10.974322208162386
BTM_S;60;1000;3;10;-47.18564320100861
BTM_S;60;1000;3;15;-112.25829456601537
BTM_S;60;1000;3;20;-205.33790855882418
BTM_S;60;1000;4;5;-11.610650654343257
BTM_S;60;1000;4;10;-51.335910933813224
BTM_S;60;1000;4;15;-116.11645418491824
BTM_S;60;1000;4;20;-204.91326118612304
BTM_S;60;1000;5;5;-10.307016901477398
BTM_S;60;1000;5;10;-45.27355668487382
BTM_S;60;1000;5;15;-109.65828406934625
BTM_S;60;1000;5;20;-199.32095369307862
BTM_S;60;1000;6;5;-10.354253131214586
BTM_S;60;1000;6;10;-48.32716467866119
BTM_S;60;1000;6;15;-114.13551591050171
BTM_S;60;1000;6;20;-210.3184615349853
BTM_S;60;1000;7;5;-12.073591173121235
BTM_S;60;1000;7;10;-51.99061283068729
BTM_S;60;1000;7;15;-121.76385780247254
BTM_S;60;1000;7;20;-213.82879520918178
BTM_S;60;1000;8;5;-10.772765442193037
BTM_S;60;1000;8;10;-48.37933172593344
BTM_S;60;1000;8;15;-110.41740477798544
BTM_S;60;1000;8;20;-203.68715449204728
BTM_S;60;1000;9;5;-10.91896125484146
BTM_S;60;1000;9;10;-47.42637314116195
BTM_S;60;1000;9;15;-112.75584408358834
BTM_S;60;1000;9;20;-203.9353219541822
BTM_S;70;1000;0;5;-11.924159156866255
BTM_S;70;1000;0;10;-48.85711179479122
BTM_S;70;1000;0;15;-111.06061531472542
BTM_S;70;1000;0;20;-200.77926836255037
BTM_S;70;1000;1;5;-11.893485116025637
BTM_S;70;1000;1;10;-49.03696401443069
BTM_S;70;1000;1;15;-116.16479176148789
BTM_S;70;1000;1;20;-208.68609596852312
BTM_S;70;1000;2;5;-10.384124109144684
BTM_S;70;1000;2;10;-45.13613877517844
BTM_S;70;1000;2;15;-105.25821280786111
BTM_S;70;1000;2;20;-195.9602794515301
BTM_S;70;1000;3;5;-11.725108094856997
BTM_S;70;1000;3;10;-48.84229066867319
BTM_S;70;1000;3;15;-113.68212478397925
BTM_S;70;1000;3;20;-204.9700130447371
BTM_S;70;1000;4;5;-11.075790554846957
BTM_S;70;1000;4;10;-45.83799402148785
BTM_S;70;1000;4;15;-106.98503664609825
BTM_S;70;1000;4;20;-193.6500410012945
BTM_S;70;1000;5;5;-12.235963591360376
BTM_S;70;1000;5;10;-49.86462010114255
BTM_S;70;1000;5;15;-117.42614111345782
BTM_S;70;1000;5;20;-213.6299244650879
BTM_S;70;1000;6;5;-10.338163386782051
BTM_S;70;1000;6;10;-47.03066178649837
BTM_S;70;1000;6;15;-112.23443310448461
BTM_S;70;1000;6;20;-205.88619729964452
BTM_S;70;1000;7;5;-10.434621876631077
BTM_S;70;1000;7;10;-46.14239554275013
BTM_S;70;1000;7;15;-108.65820319057843
BTM_S;70;1000;7;20;-201.6134689324583
BTM_S;70;1000;8;5;-10.643460438918218
BTM_S;70;1000;8;10;-46.74613927512565
BTM_S;70;1000;8;15;-108.5892157400527
BTM_S;70;1000;8;20;-201.7063768533209
BTM_S;70;1000;9;5;-10.230271798285589
BTM_S;70;1000;9;10;-47.09825605874444
BTM_S;70;1000;9;15;-113.61084365199008
BTM_S;70;1000;9;20;-207.6690134672052
BTM_S;70;1000;9;20;-215.4291608329323
LDA_S;40;200;0;5;-14.208604811282086
LDA_S;40;200;0;10;-63.85264236207449
LDA_S;40;200;0;15;-139.26975681304415
LDA_S;40;200;0;20;-248.69047497993023
LDA_S;40;200;1;5;-13.399728179263054
LDA_S;40;200;1;10;-59.61325162489012
LDA_S;40;200;1;15;-133.87518852270418
LDA_S;40;200;1;20;-243.60265372184827
LDA_S;40;200;2;5;-13.044205853475365
LDA_S;40;200;2;10;-59.708756026041044
LDA_S;40;200;2;15;-138.27808993241678
LDA_S;40;200;2;20;-241.0003873836046
LDA_S;40;200;3;5;-13.088397344320697
LDA_S;40;200;3;10;-57.46427196826945
LDA_S;40;200;3;15;-132.27041018240237
LDA_S;40;200;3;20;-237.7666452593143
LDA_S;40;200;4;5;-12.964629991897073
LDA_S;40;200;4;10;-60.58147154105153
LDA_S;40;200;4;15;-135.01130843139273
LDA_S;40;200;4;20;-240.59609822235615
LDA_S;40;200;5;5;-13.284814275448468
LDA_S;40;200;5;10;-61.695811732763296
LDA_S;40;200;5;15;-136.3113756984843
LDA_S;40;200;5;20;-243.49646994702374
LDA_S;40;200;6;5;-13.326031865587783
LDA_S;40;200;6;10;-56.85010142324986
LDA_S;40;200;6;15;-132.96965919986818
LDA_S;40;200;6;20;-237.97645297573604
LDA_S;40;200;7;5;-13.152525917944237
LDA_S;40;200;7;10;-57.04863280486124
LDA_S;40;200;7;15;-130.43860217674248
LDA_S;40;200;7;20;-241.64239861407796
LDA_S;40;200;8;5;-12.287058038878877
LDA_S;40;200;8;10;-58.17223978724714
LDA_S;40;200;8;15;-135.35027436491802
LDA_S;40;200;8;20;-250.17460318029526
LDA_S;40;200;9;5;-13.25048490100688
LDA_S;40;200;9;10;-59.740409611412716
LDA_S;40;200;9;15;-138.49795669689087
LDA_S;40;200;9;20;-241.91741122143935
LDA;50;200;0;5;-15.10138957949824
LDA;50;200;0;10;-70.78648385393896
LDA;50;200;0;15;-171.4777475180274
LDA;50;200;0;20;-319.41745040577246
LDA;50;200;1;5;-16.34830495319202
